raw_date_time,temp
6/13/2022 11:42,21
6/13/2022 12:42,26.5
6/13/2022 13:42,18
6/13/2022 14:42,19.5
6/13/2022 15:42,21.5
6/13/2022 16:42,21
6/13/2022 17:42,19
6/13/2022 18:42,7
6/13/2022 19:42,3
6/13/2022 20:42,1
6/13/2022 21:42,1
6/13/2022 22:42,-0.5
6/13/2022 23:42,-2
6/14/2022 0:42,-2.5
6/14/2022 1:42,-3.5
6/14/2022 2:42,-6.5
6/14/2022 3:42,-8
6/14/2022 4:42,-8.5
6/14/2022 5:42,-7.5
6/14/2022 6:42,-3
6/14/2022 7:42,6.5
6/14/2022 8:42,14
6/14/2022 9:42,18
6/14/2022 10:42,20.5
6/14/2022 11:42,31
6/14/2022 12:42,34
6/14/2022 13:42,35
6/14/2022 14:42,32.5
6/14/2022 15:42,32
6/14/2022 16:42,32
6/14/2022 17:42,30
6/14/2022 18:42,14.5
6/14/2022 19:42,8.5
6/14/2022 20:42,7
6/14/2022 21:42,6.5
6/14/2022 22:42,5.5
6/14/2022 23:42,5.5
6/15/2022 0:42,4
6/15/2022 1:42,2.5
6/15/2022 2:42,-3
6/15/2022 3:42,-3.5
6/15/2022 4:42,-3.5
6/15/2022 5:42,-2
6/15/2022 6:42,4
6/15/2022 7:42,10.5
6/15/2022 8:42,18.5
6/15/2022 9:42,21.5
6/15/2022 10:42,26
6/15/2022 11:42,34
6/15/2022 12:42,37.5
6/15/2022 13:42,40.5
6/15/2022 14:42,41
6/15/2022 15:42,41
6/15/2022 16:42,37.5
6/15/2022 17:42,32.5
6/15/2022 18:42,20.5
6/15/2022 19:42,16
6/15/2022 20:42,13
6/15/2022 21:42,12
6/15/2022 22:42,11
6/15/2022 23:42,10
6/16/2022 0:42,11
6/16/2022 1:42,11
6/16/2022 2:42,10.5
6/16/2022 3:42,10.5
6/16/2022 4:42,10
6/16/2022 5:42,9.5
6/16/2022 6:42,11
6/16/2022 7:42,14.5
6/16/2022 8:42,20.5
6/16/2022 9:42,21.5
